Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotlength	Bases
SRR7537344	PRJNA437459	SAMN09396580	Puma concolor	USA	Illumina HiSeq 4000	PAIRED	female	300	52724096100
SRR7537345	PRJNA437459	SAMN09396580	Puma concolor	USA	Illumina HiSeq 4000	PAIRED	female	233	34197042450
SRR7543017	PRJNA437459	SAMN09396627	Puma concolor	USA	Illumina HiSeq 4000	PAIRED	male	300	53767241400
SRR7543018	PRJNA437459	SAMN09396627	Puma concolor	USA	Illumina HiSeq 4000	PAIRED	male	300	41035813200
SRR7661934	PRJNA437459	SAMN09396626	Puma concolor	USA	HiSeq X Ten	PAIRED	male	290	72601751979
SRR7661935	PRJNA437459	SAMN09396626	Puma concolor	USA	HiSeq X Ten	PAIRED	male	178	42458110034
SRR7690239	PRJNA437459	SAMN09809203	Puma concolor	USA	HiSeq X Ten	PAIRED	female	302	84500834576
SRR7690240	PRJNA437459	SAMN09809203	Puma concolor	USA	HiSeq X Ten	PAIRED	female	302	75501782404
