Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
ERR1124330	PRJEB11742	SAMEA3650347	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female	202	90554829470
ERR1124331	PRJEB11742	SAMEA3650348	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female	202	86885600470
ERR1124332	PRJEB11742	SAMEA3650349	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	male	202	90993665986
ERR1124333	PRJEB11742	SAMEA3650350	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female		
ERR1124334	PRJEB11742	SAMEA3650351	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female	202	88280196552
ERR1124335	PRJEB11742	SAMEA3650352	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female	202	81606318148
ERR1124336	PRJEB11742	SAMEA3650353	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	male	202	89055427304
ERR1124337	PRJEB11742	SAMEA3650354	Mus musculus musculus	Czech Republic (Studenec)	Illumina HiSeq 2000	PAIRED	female	202	90114032746
